fips_code,county,state,date,cases,deaths
01001,Autauga,Alabama,2020-08-30,1438,23
01003,Baldwin,Alabama,2020-08-30,4525,40
01005,Barbour,Alabama,2020-08-30,757,7
01007,Bibb,Alabama,2020-08-30,550,7
01009,Blount,Alabama,2020-08-30,1277,10
01011,Bullock,Alabama,2020-08-30,550,14
01013,Butler,Alabama,2020-08-30,864,37
01015,Calhoun,Alabama,2020-08-30,2533,35
01017,Chambers,Alabama,2020-08-30,1027,40
01019,Cherokee,Alabama,2020-08-30,404,12
01021,Chilton,Alabama,2020-08-30,1178,13
01023,Choctaw,Alabama,2020-08-30,326,12
01025,Clarke,Alabama,2020-08-30,988,14
01027,Clay,Alabama,2020-08-30,370,6
01029,Cleburne,Alabama,2020-08-30,204,5
01031,Coffee,Alabama,2020-08-30,1079,7
01033,Colbert,Alabama,2020-08-30,1456,22
01035,Conecuh,Alabama,2020-08-30,484,11
01037,Coosa,Alabama,2020-08-30,135,3
01039,Covington,Alabama,2020-08-30,1091,26
01041,Crenshaw,Alabama,2020-08-30,466,27
01043,Cullman,Alabama,2020-08-30,1627,14
01045,Dale,Alabama,2020-08-30,1093,37
01047,Dallas,Alabama,2020-08-30,1614,25
01049,DeKalb,Alabama,2020-08-30,2144,16
01051,Elmore,Alabama,2020-08-30,2183,44
01053,Escambia,Alabama,2020-08-30,1402,22
01055,Etowah,Alabama,2020-08-30,2790,39
01057,Fayette,Alabama,2020-08-30,313,6
01059,Franklin,Alabama,2020-08-30,1562,27
01061,Geneva,Alabama,2020-08-30,430,4
01063,Greene,Alabama,2020-08-30,284,15
01065,Hale,Alabama,2020-08-30,558,28
01067,Henry,Alabama,2020-08-30,365,4
01069,Houston,Alabama,2020-08-30,2039,18
01071,Jackson,Alabama,2020-08-30,1317,9
01073,Jefferson,Alabama,2020-08-30,16278,303
01075,Lamar,Alabama,2020-08-30,289,2
01077,Lauderdale,Alabama,2020-08-30,1429,23
01079,Lawrence,Alabama,2020-08-30,472,5
01081,Lee,Alabama,2020-08-30,4451,54
01083,Limestone,Alabama,2020-08-30,1678,16
01085,Lowndes,Alabama,2020-08-30,619,26
01087,Macon,Alabama,2020-08-30,432,19
01089,Madison,Alabama,2020-08-30,6428,52
01091,Marengo,Alabama,2020-08-30,638,18
01093,Marion,Alabama,2020-08-30,786,28
01095,Marshall,Alabama,2020-08-30,3616,42
01097,Mobile,Alabama,2020-08-30,12197,260
01099,Monroe,Alabama,2020-08-30,544,7
01101,Montgomery,Alabama,2020-08-30,7976,163
01103,Morgan,Alabama,2020-08-30,2902,24
01105,Perry,Alabama,2020-08-30,516,5
01107,Pickens,Alabama,2020-08-30,560,11
01109,Pike,Alabama,2020-08-30,958,8
01111,Randolph,Alabama,2020-08-30,510,12
01113,Russell,Alabama,2020-08-30,1614,2
01117,Shelby,Alabama,2020-08-30,4527,47
01115,St. Clair,Alabama,2020-08-30,1833,28
01119,Sumter,Alabama,2020-08-30,403,19
01121,Talladega,Alabama,2020-08-30,1752,20
01123,Tallapoosa,Alabama,2020-08-30,1044,82
01125,Tuscaloosa,Alabama,2020-08-30,5848,97
01127,Walker,Alabama,2020-08-30,1907,75
01129,Washington,Alabama,2020-08-30,518,13
01131,Wilcox,Alabama,2020-08-30,514,11
01133,Winston,Alabama,2020-08-30,573,11
02013,Aleutians East Borough,Alaska,2020-08-30,4,0
02016,Aleutians West Census Area,Alaska,2020-08-30,92,0
02020,Anchorage,Alaska,2020-08-30,3109,21
02050,Bethel Census Area,Alaska,2020-08-30,64,1
02060,Bristol Bay Borough,Alaska,2020-08-30,68,0
02068,Denali Borough,Alaska,2020-08-30,4,0
02070,Dillingham Census Area,Alaska,2020-08-30,26,0
02090,Fairbanks North Star Borough,Alaska,2020-08-30,680,8
02100,Haines Borough,Alaska,2020-08-30,10,0
02110,Juneau City and Borough,Alaska,2020-08-30,256,0
02122,Kenai Peninsula Borough,Alaska,2020-08-30,568,1
02130,Ketchikan Gateway Borough,Alaska,2020-08-30,62,0
02150,Kodiak Island Borough,Alaska,2020-08-30,57,0
02158,Kusilvak Census Area,Alaska,2020-08-30,8,0
02164,Lake and Peninsula Borough,Alaska,2020-08-30,5,0
02170,Matanuska-Susitna Borough,Alaska,2020-08-30,482,2
02180,Nome Census Area,Alaska,2020-08-30,43,0
02185,North Slope Borough,Alaska,2020-08-30,43,0
02188,Northwest Arctic Borough,Alaska,2020-08-30,66,0
02195,Petersburg Borough,Alaska,2020-08-30,11,0
02198,Prince of Wales-Hyder Census Area,Alaska,2020-08-30,25,0
02220,Sitka City and Borough,Alaska,2020-08-30,51,0
02240,Southeast Fairbanks Census Area,Alaska,2020-08-30,32,0
NA,Unknown,Alaska,2020-08-30,59,0
02261,Valdez-Cordova Census Area,Alaska,2020-08-30,121,0
02275,Wrangell City and Borough,Alaska,2020-08-30,17,0
02290,Yukon-Koyukuk Census Area,Alaska,2020-08-30,73,1
04001,Apache,Arizona,2020-08-30,3338,154
04003,Cochise,Arizona,2020-08-30,1818,62
04005,Coconino,Arizona,2020-08-30,3318,125
04007,Gila,Arizona,2020-08-30,1106,47
04009,Graham,Arizona,2020-08-30,714,22
04011,Greenlee,Arizona,2020-08-30,58,2
04012,La Paz,Arizona,2020-08-30,498,15
04013,Maricopa,Arizona,2020-08-30,133641,2962
04015,Mohave,Arizona,2020-08-30,3606,206
04017,Navajo,Arizona,2020-08-30,5598,220
04019,Pima,Arizona,2020-08-30,21189,576
04021,Pinal,Arizona,2020-08-30,9524,186
04023,Santa Cruz,Arizona,2020-08-30,2754,57
04025,Yavapai,Arizona,2020-08-30,2303,78
04027,Yuma,Arizona,2020-08-30,12230,321
05001,Arkansas,Arkansas,2020-08-30,282,3
05003,Ashley,Arkansas,2020-08-30,388,7
05005,Baxter,Arkansas,2020-08-30,137,0
