state,total_cases,total_deaths
Alabama,125235,2162
Alaska,6036,34
Arizona,201695,5033
Arkansas,60856,784
California,706589,12939
Colorado,57515,1945
Connecticut,52495,4465
Delaware,17343,604
District of Columbia,13959,606
Florida,621578,11118
Georgia,252813,5478
Guam,2256,11
Hawaii,8315,62
Idaho,32034,360
Illinois,235779,8248
Indiana,95394,3291
Iowa,64599,1113
Kansas,42011,450
Kentucky,50170,956
Louisiana,148030,4931
Maine,4512,132
Maryland,108286,3752
Massachusetts,128229,9049
Michigan,112598,6750
Minnesota,75238,1865
Mississippi,82676,2441
Missouri,85076,1615
Montana,7340,104
Nebraska,34046,400
Nevada,68981,1305
New Hampshire,7254,432
New Jersey,193391,15937
New Mexico,25283,770
New York,438831,32534
North Carolina,166510,2721
North Dakota,11706,146
Northern Mariana Islands,56,2
Ohio,122262,4128
Oklahoma,58020,799
Oregon,26554,463
Pennsylvania,138137,7742
Puerto Rico,32848,0
Rhode Island,21683,1046
South Carolina,118324,2709
South Dakota,13322,167
Tennessee,150249,1722
Texas,636547,12807
Utah,51854,408
Vermont,1616,58
Virgin Islands,1134,14
Virginia,119747,2569
Washington,77123,1993
West Virginia,10110,213
Wisconsin,80311,1132
Wyoming,3820,37
