state,county,fips,cases,deaths
Alabama,Autauga,01001,1438,23
Alabama,Baldwin,01003,4525,40
Alabama,Barbour,01005,757,7
Alabama,Bibb,01007,550,7
Alabama,Blount,01009,1277,10
Alabama,Bullock,01011,550,14
Alabama,Butler,01013,864,37
Alabama,Calhoun,01015,2533,35
Alabama,Chambers,01017,1027,40
Alabama,Cherokee,01019,404,12
Alabama,Chilton,01021,1178,13
Alabama,Choctaw,01023,326,12
Alabama,Clarke,01025,988,14
Alabama,Clay,01027,370,6
Alabama,Cleburne,01029,204,5
Alabama,Coffee,01031,1079,7
Alabama,Colbert,01033,1456,22
Alabama,Conecuh,01035,484,11
Alabama,Coosa,01037,135,3
Alabama,Covington,01039,1091,26
Alabama,Crenshaw,01041,466,27
Alabama,Cullman,01043,1627,14
Alabama,Dale,01045,1093,37
Alabama,Dallas,01047,1614,25
Alabama,DeKalb,01049,2144,16
Alabama,Elmore,01051,2183,44
Alabama,Escambia,01053,1402,22
Alabama,Etowah,01055,2790,39
Alabama,Fayette,01057,313,6
Alabama,Franklin,01059,1562,27
Alabama,Geneva,01061,430,4
Alabama,Greene,01063,284,15
Alabama,Hale,01065,558,28
Alabama,Henry,01067,365,4
Alabama,Houston,01069,2039,18
Alabama,Jackson,01071,1317,9
Alabama,Jefferson,01073,16278,303
Alabama,Lamar,01075,289,2
Alabama,Lauderdale,01077,1429,23
Alabama,Lawrence,01079,472,5
Alabama,Lee,01081,4451,54
Alabama,Limestone,01083,1678,16
Alabama,Lowndes,01085,619,26
Alabama,Macon,01087,432,19
Alabama,Madison,01089,6428,52
Alabama,Marengo,01091,638,18
Alabama,Marion,01093,786,28
Alabama,Marshall,01095,3616,42
Alabama,Mobile,01097,12197,260
Alabama,Monroe,01099,544,7
Alabama,Montgomery,01101,7976,163
Alabama,Morgan,01103,2902,24
Alabama,Perry,01105,516,5
Alabama,Pickens,01107,560,11
Alabama,Pike,01109,958,8
Alabama,Randolph,01111,510,12
Alabama,Russell,01113,1614,2
Alabama,Shelby,01117,4527,47
Alabama,St. Clair,01115,1833,28
Alabama,Sumter,01119,403,19
Alabama,Talladega,01121,1752,20
Alabama,Tallapoosa,01123,1044,82
Alabama,Tuscaloosa,01125,5848,97
Alabama,Walker,01127,1907,75
Alabama,Washington,01129,518,13
Alabama,Wilcox,01131,514,11
Alabama,Winston,01133,573,11
Alaska,Aleutians East Borough,02013,4,0
Alaska,Aleutians West Census Area,02016,92,0
Alaska,Anchorage,02020,3109,21
Alaska,Bethel Census Area,02050,64,1
Alaska,Bristol Bay Borough,02060,68,0
Alaska,Denali Borough,02068,4,0
Alaska,Dillingham Census Area,02070,26,0
Alaska,Fairbanks North Star Borough,02090,680,8
Alaska,Haines Borough,02100,10,0
Alaska,Juneau City and Borough,02110,256,0
Alaska,Kenai Peninsula Borough,02122,568,1
Alaska,Ketchikan Gateway Borough,02130,62,0
Alaska,Kodiak Island Borough,02150,57,0
Alaska,Kusilvak Census Area,02158,8,0
Alaska,Lake and Peninsula Borough,02164,5,0
Alaska,Matanuska-Susitna Borough,02170,482,2
Alaska,Nome Census Area,02180,43,0
Alaska,North Slope Borough,02185,43,0
Alaska,Northwest Arctic Borough,02188,66,0
