state,county,month,case_rate
Maryland,Anne Arundel,2020-03-30,0.1937656774
Maryland,Anne Arundel,2020-04-30,3.052690172
Maryland,Anne Arundel,2020-05-30,6.609171106
Maryland,Anne Arundel,2020-06-30,9.013627012
Maryland,Anne Arundel,2020-07-30,11.78799921
Maryland,Anne Arundel,2020-08-30,14.63811617
Maryland,Baltimore,2020-03-30,0.2247394653
Maryland,Baltimore,2020-04-30,3.436338922
Maryland,Baltimore,2020-05-30,7.213411871
Maryland,Baltimore,2020-06-30,9.6746715
Maryland,Baltimore,2020-07-30,14.0607159
Maryland,Baltimore,2020-08-30,18.61350249
Maryland,Baltimore city,2020-03-30,0.2472750935
Maryland,Baltimore city,2020-04-30,3.377257199
Maryland,Baltimore city,2020-05-30,9.06458435
Maryland,Baltimore city,2020-06-30,12.29217504
Maryland,Baltimore city,2020-07-30,17.92419066
Maryland,Baltimore city,2020-08-30,23.49764113
Maryland,Calvert,2020-03-30,0.1317494126
Maryland,Calvert,2020-04-30,1.646867658
Maryland,Calvert,2020-05-30,3.678004436
Maryland,Calvert,2020-06-30,4.556333853
Maryland,Calvert,2020-07-30,6.214180628
Maryland,Calvert,2020-08-30,8.640565644
Maryland,Caroline,2020-03-30,0.1216730038
Maryland,Caroline,2020-04-30,2.159695817
Maryland,Caroline,2020-05-30,7.69581749
Maryland,Caroline,2020-06-30,9.703422053
Maryland,Caroline,2020-07-30,12.7148289
Maryland,Caroline,2020-08-30,15.33079848
Maryland,Carroll,2020-03-30,0.4954573131
Maryland,Carroll,2020-04-30,2.602643235
Maryland,Carroll,2020-05-30,5.259010757
Maryland,Carroll,2020-06-30,6.679719679
Maryland,Carroll,2020-07-30,8.577977818
Maryland,Carroll,2020-08-30,10.08225785
Maryland,Cecil,2020-03-30,0.1268082367
Maryland,Cecil,2020-04-30,1.628998117
Maryland,Cecil,2020-05-30,3.570139587
Maryland,Cecil,2020-06-30,4.682150278
Maryland,Cecil,2020-07-30,6.047777442
Maryland,Cecil,2020-08-30,7.63775764
Maryland,Charles,2020-03-30,0.2092965732
Maryland,Charles,2020-04-30,3.583411027
Maryland,Charles,2020-05-30,6.887759956
Maryland,Charles,2020-06-30,8.84753696
Maryland,Charles,2020-07-30,11.54936545
Maryland,Charles,2020-08-30,15.12009184
Maryland,Frederick,2020-03-30,0.104639557
Maryland,Frederick,2020-04-30,3.722753469
