county,state,d_2020_03_30,d_2020_04_30,d_2020_05_30,d_2020_06_30,d_2020_07_30,d_2020_08_30
Autauga,Alabama,0.1268115942,0.7608695652,3.913043478,9.72826087,18.15217391,26.05072464
Baldwin,Alabama,0.08649396705,0.8361083481,1.359877371,3.267549866,14.55020735,21.74362227
Bibb,Alabama,0.08878235007,1.864429351,3.196164602,7.546499756,15.62569361,24.41514627
Blount,Alabama,0.08673779166,0.6418596583,1.058201058,3.608292133,12.68106514,22.15283199
Bullock,Alabama,0.2897990726,1.255795981,19.60973725,35.25888717,42.02086553,53.12982998
Butler,Alabama,0.04993757803,2.646691635,20.07490637,30.31210986,37.30337079,43.14606742
Calhoun,Alabama,0.07819423448,0.8080070896,1.337990234,2.397956524,11.6074997,22.00733288
Chambers,Alabama,1.064270088,8.602849879,10.43575947,17.44220422,25.06947319,30.36126057
Cherokee,Alabama,0.07736046107,0.580203458,1.43116853,2.86233706,9.051173945,15.62681314
Chilton,Alabama,0.2276348737,1.20646483,2.276348737,4.871386296,15.61575233,26.81538812
Choctaw,Alabama,0.1529636711,3.288718929,11.54875717,14.68451243,20.6500956,24.93307839
Clay,Alabama,0.1494991778,1.569741366,2.0182389,3.96172821,14.42667065,27.65734788
Cleburne,Alabama,0.3347168296,0.8033203909,0.9372071228,1.941357611,7.36377025,13.65644665
Colbert,Alabama,0.07340122947,0.5321589137,3.266354711,6.826314341,18.77236444,26.71804753
Coosa,Alabama,0.3684937817,2.671579917,3.500690926,5.066789498,8.659603869,12.43666513
Covington,Alabama,0.0535460898,0.9638296163,2.061524457,8.460282188,20.05301063,29.20939198
Crenshaw,Alabama,0.07212405337,1.370357014,5.481428056,9.087630725,20.12261089,33.60980887
Cullman,Alabama,0.09718999429,0.6681812107,1.53074241,4.956689709,13.35147547,19.76601509
Dallas,Alabama,0.04996377626,0.949311749,6.495290914,20.33525694,32.50143646,40.32076744
DeKalb,Alabama,0.05617977528,1.06741573,3.412921348,8.188202247,22.78089888,30.11235955
Elmore,Alabama,0.1600748658,1.058956804,4.174259962,10.1216569,19.3074915,26.880264
Escambia,Alabama,0.02678954136,0.7501071582,1.527003858,6.911701672,26.0394342,37.55893699
Etowah,Alabama,0.05828694664,1.350314264,2.409193794,5.97441203,17.93295058,27.10343019
Fayette,Alabama,0.06029544769,0.3617726862,0.9044317154,4.160385891,10.25022611,18.87247513
Franklin,Alabama,0.0951112802,1.838818084,17.27854924,26.85308478,36.64954664,49.52127322
Greene,Alabama,0.356040826,6.527415144,11.15594588,19.46356516,28.60194636,33.7051982
Hale,Alabama,0.06717270101,3.157116948,10.68045946,19.48008329,30.02619735,37.48236717
Houston,Alabama,0.08624655014,0.8624655014,2.002836553,4.206915057,11.98827047,19.53963508
Jackson,Alabama,0.1343724805,0.921411295,1.478097286,4.10795869,14.01313011,25.28122241
Jefferson,Alabama,0.3894576688,1.342643948,2.697411092,6.452571027,16.83760373,24.66767289
Lamar,Alabama,0.07177205196,0.7894925716,1.650757195,5.167587741,13.92377808,20.74212302
Lauderdale,Alabama,0.1296106281,0.4104336556,1.738942593,4.449964897,10.75768213,15.43446563
Lawrence,Alabama,0.09044044497,0.3617617799,1.447047119,3.105121944,8.621989087,14.22929667
Lee,Alabama,0.4645702411,2.454688707,3.390107165,7.458235763,15.8205001,27.94327221
Limestone,Alabama,0.2149335855,0.4728538881,1.010187852,4.373898465,12.1867343,18.03292783
Lowndes,Alabama,0.09769441188,6.350136772,23.25127003,45.13481829,54.61117624,60.47284095
Macon,Alabama,0.05248241839,1.94184948,3.936181379,8.817046289,16.16458486,22.67240474
Madison,Alabama,0.2684864079,0.6348584853,0.9145318268,2.928179886,13.26770332,17.97740239
Marengo,Alabama,0.2047292456,2.507933258,8.342716757,14.22868257,26.0517965,32.65431467
Marion,Alabama,0.3003504088,2.502920073,4.038044385,6.841314867,17.92090773,26.23060237
Marshall,Alabama,0.07357191655,3.331756792,7.220558096,15.81796206,29.88070839,38.00515003
Mobile,Alabama,0.1085229068,2.549082499,5.28385975,8.826529751,19.08797349,29.41453098
Monroe,Alabama,0.04648568241,0.6043138713,1.719970249,9.06470807,19.52398661,25.28821123
Montgomery,Alabama,0.1277865172,1.484967459,7.191296416,16.91629102,26.63687919,35.14569866
Morgan,Alabama,0.1595003442,0.5708433371,2.107083494,8.109333289,17.83885428,24.36157889
Pickens,Alabama,0.1477978126,2.364765001,5.468519066,10.09951719,17.39087595,27.58892502
Pike,Alabama,0.1197497231,1.975870431,5.927611292,12.09472203,19.18989312,28.68005868
Randolph,Alabama,0.08859750155,2.746522548,5.537343847,7.575086383,17.1879153,22.5923629
Russell,Alabama,0.01717829351,0.97916273,2.868775016,8.142511123,20.06424682,27.72576572
Shelby,Alabama,0.4165463573,1.514714027,2.380941111,5.097959396,14.10104089,21.42847
St. Clair,Alabama,0.1603555311,0.8246855886,1.351568048,3.459097886,13.50422651,20.99512061
Sumter,Alabama,0.07701193685,4.928763958,16.94262611,21.25529457,27.49326146,31.03581055
Talladega,Alabama,0.07447402718,0.7571526097,1.352944827,3.289269534,11.71724694,21.74641594
Tallapoosa,Alabama,0.295304656,7.013485579,10.40948912,13.95314499,20.27758638,25.69150507
Tuscaloosa,Alabama,0.1357819342,1.008665797,3.578823837,9.63081862,18.53423402,28.35902683
Walker,Alabama,0.480672321,1.473028081,5.333912208,13.25725273,22.40553238,29.56910052
Washington,Alabama,0.1802559635,2.042900919,4.085801839,6.068617437,18.08568167,31.12419636
Wilcox,Alabama,0.1850309927,6.106022759,13.32223147,25.90433898,37.37626052,47.55296512
Winston,Alabama,0.08376963351,0.6282722513,3.685863874,9.67539267,17.67539267,24
Anchorage,Alaska,0.2060031339,0.6045009996,0.7328308208,1.63789377,5.727562544,10.49940563
Fairbanks North Star Borough,Alaska,0.3110794457,0.8128204871,0.8529597704,1.555397228,4.23469439,6.823678163
Juneau City and Borough,Alaska,0.1546551191,0.8351376431,1.020723786,1.484689143,4.361274358,7.918342097
Kenai Peninsula Borough,Alaska,0.1202335967,0.3091721058,0.687049124,2.731020268,7.488835452,9.756097561
Ketchikan Gateway Borough,Alaska,0.9417560127,1.159084323,1.159084323,2.100840336,3.4048102,4.491451753
Matanuska-Susitna Borough,Alaska,0.02899559267,0.2029691487,0.2416299389,0.8118765948,2.619268538,4.658625222
Apache,Arizona,0.2376891027,6.277788652,20.84673247,32.67526076,41.51170269,46.67095439
Cochise,Arizona,0.03167589227,0.3088399496,0.5701660609,5.107737629,11.61713349,14.39669304
Coconino,Arizona,0.5206216079,3.466056184,8.009014599,13.44344837,20.91757775,23.66332185
Gila,Arizona,0.01872659176,0.2434456929,0.5617977528,5.468164794,14.56928839,20.71161049
Graham,Arizona,0.05279970432,0.4223976346,0.7391958605,2.534385807,11.48393569,18.84949444
Greenlee,Arizona,0.1052188552,0.2104377104,0.4208754209,1.893939394,5.681818182,6.102693603
La Paz,Arizona,0.09661369016,0.6762958311,3.381479156,16.52094102,22.6076035,24.05680885
Maricopa,Arizona,0.1622035994,0.9337285459,2.238409671,11.4506338,26.99914173,31.41601627
