county,state,d_2020_03_30,d_2020_04_30,d_2020_05_30,d_2020_06_30,d_2020_07_30,d_2020_08_30
Hancock,Georgia,0,0.2343292326,2.694786175,3.749267721,3.983596954,4.569420035
Galax city,Virginia,0,0,0,1.958421211,2.561012353,4.218137993
Randolph,Georgia,0,2.680965147,2.680965147,3.52758572,3.668689149,3.809792578
Terrell,Georgia,0.225759115,2.144711593,2.934868495,3.047748053,3.273507168,3.499266283
Neshoba,Mississippi,0,0.102124183,1.293572985,2.314814815,2.893518519,3.370098039
McKinley,New Mexico,0,0.2608134635,1.496245659,2.306140098,3.006218342,3.321939903
Early,Georgia,0.1932740626,1.932740626,2.995747971,2.995747971,2.995747971,3.092385002
Holmes,Mississippi,0.05532503458,0.2766251729,1.549100968,2.213001383,2.489626556,2.987551867
Emporia city,Virginia,0,0.3716781267,0.9291953169,2.601746887,2.787585951,2.973425014
Jenkins,Georgia,0,0.1132887731,0.1132887731,1.246176504,2.265775462,2.832219327
New York City,New York,0.1431165693,2.120435093,2.499301086,2.686829037,2.738027144,2.820539442
Essex,New Jersey,0.04536547561,1.494540391,2.08807203,2.546767395,2.646319411,2.662701388
Lowndes,Alabama,0,0.09769441188,1.172332943,1.953888238,2.540054709,2.540054709
Leflore,Mississippi,0.03355254328,0.5703932358,1.040128842,1.610522078,1.979600054,2.516440746
Passaic,New Jersey,0.01785569031,1.136812283,1.835168171,2.35298319,2.464085263,2.47003716
Union,New Jersey,0.02712153703,1.247590703,1.929245334,2.397543874,2.433705923,2.440938333
Northampton,Virginia,0,0,1.672660366,2.341724513,2.341724513,2.425357531
Perkins,Nebraska,0,0,0,0,0.343997248,2.407980736
Turner,Georgia,0,1.00477267,1.507159005,2.00954534,2.260738508,2.386335092
Red River,Louisiana,0,0.5801810165,0.8122534231,0.9282896264,1.160362033,2.320724066
Bienville,Louisiana,0.0731635938,0.9511267193,1.682762657,1.902253439,2.12174422,2.268071408
Wilcox,Georgia,0,1.017408998,1.469590775,1.695681664,2.034817997,2.260908885
Issaquena,Mississippi,0,0,0,0.7530120482,0.7530120482,2.259036145
Hudson,New Jersey,0.01645152558,1.193483401,1.754330864,2.170105783,2.241894259,2.253859004
Brooks,Texas,0,0,0,0,0.139275766,2.228412256
East Feliciana,Louisiana,0,0.7179855377,1.538540438,1.692394482,1.794963844,2.205241294
St. John the Baptist,Louisiana,0.1841366294,1.588178428,1.818349215,1.979468766,2.025502923,2.186622474
Bergen,New Jersey,0.04408606891,1.22150669,1.691399668,2.138711977,2.193550746,2.184948586
Apache,Arizona,0,0.08389027152,0.4893599172,1.202427225,1.803640838,2.153183636
Knox,Texas,0,0,0,0,0,2.143048486
Upson,Georgia,0,0.6866036009,1.296917913,1.640219713,1.716509002,2.097955447
Starr,Texas,0,0,0,0.04695276552,0.5947350299,2.097223526
Dakota,Nebraska,0,0.04921986514,1.230496628,1.771915145,2.067234336,2.067234336
Navajo,Arizona,0,0.1931833862,0.5427533232,1.149901109,1.720252058,2.023825951
Tallapoosa,Alabama,0.02460872133,0.442956984,1.574958165,1.722610493,1.944088985,2.017915149
Dougherty,Georgia,0.1976957462,1.317971642,1.592549067,1.69139694,1.834177201,1.965974365
Mitchell,Georgia,0.04457917261,1.337375178,1.426533524,1.694008559,1.827746077,1.961483595
Crenshaw,Alabama,0,0,0.2163721601,0.2163721601,0.2884962135,1.947349441
Sumter,Georgia,0.06589351608,0.9225092251,1.416710596,1.647337902,1.84501845,1.943858724
Willacy,Texas,0,0.04596855751,0.04596855751,0.1379056725,0.8274340351,1.930679415
Bamberg,South Carolina,0,0,0,0.06849315068,1.02739726,1.917808219
Newton,Arkansas,0,0,0,0,0.3822629969,1.911314985
Wilkinson,Mississippi,0.2224694105,0.7786429366,1.001112347,1.001112347,1.334816463,1.890989989
Clarke,Mississippi,0,0.188347564,1.130085384,1.506780512,1.569563034,1.88347564
Hale,Alabama,0,0.134345402,0.5373816081,1.34345402,1.679317525,1.880835628
Wilkinson,Georgia,0,0.2203128442,0.5507821106,0.881251377,1.101564221,1.872659176
Butler,Alabama,0,0.04993757803,0.8489388265,1.348314607,1.797752809,1.847690387
San Juan,Utah,0,0.1308814868,0.327203717,0.5889666907,1.439696355,1.832340815
Clarendon,South Carolina,0.02939706617,0.5291471911,1.146485581,1.234676779,1.469853309,1.822618103
Stewart,Georgia,0,0,0.1655081099,0.4965243297,0.8275405495,1.820589209
Cameron,Texas,0,0.04030823948,0.08535862478,0.1304090101,0.7208061648,1.783046829
Greene,Alabama,0,0.1186802753,0.4747211014,0.8307619274,1.305483029,1.78020413
Val Verde,Texas,0,0,0,0,0.285556938,1.774532401
Sharkey,Mississippi,0,0,0,0,0.221680337,1.773442696
Lee,South Carolina,0,0.3975917301,0.9087810974,1.249574009,1.476769283,1.760763376
Claiborne,Mississippi,0,0,0.2192982456,1.096491228,1.315789474,1.754385965
Union,Louisiana,0,0.2669632925,0.7563959956,1.06785317,1.423804227,1.735261402
Ocean,New Jersey,0.02027235915,0.6706772151,1.226477728,1.613341915,1.713014348,1.723150527
Somerset,New Jersey,0.04240162822,0.8177456871,1.262962783,1.599147122,1.677893003,1.717265943
Middlesex,New Jersey,0.02419263141,0.6906996267,1.196325623,1.599132936,1.697113093,1.715257567
Mercer,New Jersey,0,0.6264202928,1.274534795,1.564694844,1.659607009,1.700283652
Morgan,Colorado,0,0.5662313763,1.521746824,1.627915207,1.627915207,1.698694129
Tama,Iowa,0,0.408496732,1.575630252,1.692343604,1.692343604,1.692343604
St. James,Louisiana,0.140469167,0.8896380578,1.170576392,1.357868615,1.40469167,1.685630004
Butts,Georgia,0,0.4631578947,0.9263157895,1.389473684,1.515789474,1.684210526
Kenedy,Texas,0,0,0,0,1.680672269,1.680672269
